__label__2,电梯,南京高等职业技术学校新增观光电梯外部走廊装饰工程 废标公告南京高等职业技术学校新增观光电梯外部走廊装饰工程废标公告 江苏省设备成套有限公司受南京高等职业技术学校委托，就南京高等职业技术学校新增观光电梯外部走廊装饰工程进行公开招标。本项目至投标截止时间2018年11月21日14:00递交投标文件投标人不足3家，本项目作废标处理特此公告 联系方式:招 标 人：南京高等职业技术学校    地    址：南京市黄山路58号联 系 人：高老师电    话：17715666818招标代理机构：江苏省设备成套有限公司地   址：南京市山西路120号江苏成套大厦1809室联 系 人： 马丽，张平   电    话： 025-86636512电子邮件：zhangp@jcec.cn2018年11月
__label__2,电梯,栖霞区纪委、监察委办公办案用房加装户外电梯项目竞争性磋商结果公告栖霞区纪委、监察委办公办案用房加装户外电梯项目竞争性磋商结果公告根据招标投标的有关法律、法规、规章和该项目磋商文件的规定，栖霞区纪委、监察委办公办案用房加装户外电梯项目的评标工作已结束，中标人已确定。现将结果公示如下：一、项目编号：ZCDL-(2018)- 215二、项目名称：栖霞区纪委、监察委办公办案用房加装户外电梯项目三、项目简要说明：见磋商文件四、采购公告媒体及日期：2018年11月12日五、采购方式：竞争性磋商六、竞争性磋商信息：竞争性磋商小组成员名单：王国平、郭玺权、王玮竞争性磋商地点：栖霞区王子楼村高科置业项目现场主楼二楼会议室竞争性磋商日期：2018年11月23日七、成交信息：成交供应商名称：南京恒创机电有限责任公司成交供应商地址：南京市鼓楼区龙园西路5号四层中标金额：￥675，000.00元（单位：人民币）八、招标代理服务费：参照计价格[2002]1980号文招标收费基准费率的80%向采购代理机构缴纳采购代理服务费，收取10000.00元。九、采购单位信息：采购单位名称：南京市栖霞区人民政府办公室采购单位地址：南京市栖霞区文枢中路1号联系人姓名：吕科联系人电话：025-85673568十、采购代理信息采购代理名称：江苏志诚工程咨询管理有限公司地址：南京市建邺区创意路86号四楼联系人姓名：陈工联系电话：15105149905十一、备注本中标公告自发布之日起公告期限为1个工作日。各有关当事人对中标结果有异议的，可以在中标公告发布之日起七个工作日内，以书面形式向江苏志诚工程咨询管理有限公司提出质疑，逾期将不再受理。江苏志诚工程咨询管理有限公司2018年11月26日
__label__2,电梯,山东省交通医院山东省立第三医院（原山东省交通医院）电梯维保项目合同公开山东省交通医院山东省立第三医院（原山东省交通医院）电梯维保项目采购合同公示      一、采购项目名称：山东省立第三医院（原山东省交通医院）电梯维保项目     二、采购项目编码：SDGP2018-134     三、中标（成交）供应商：山东天发电梯服务有限公司     地址：济南市历下区解放路26号310     联系人：李成   联系方式：18678788751     四、合同金额：15.96 万元     五、联系方式     1、采购人：山东省交通医院   地址：济南市天桥区无影山中路11号     联系人：曹蕾蕾   联系方式：85953277-6816     2、代理机构：山东省政府采购中心     地址：山东省济南市高新区县（区、市）伯乐路街道（路、乡、镇）190号号（村）     联系人：   联系方式：0531-67800511      附件：      发布时间： 2018年11月26日       信息来源：http://www.ccgp-shandong.gov.cn/
__label__2,电梯,中山市三乡镇大布小学中山市三乡镇大布小学电梯维修和保养服务定点采购合同采购合同一、采购人： 中山市三乡镇大布小学     二、合同编号： 442000-201810-sx051-0041     三、合同名称： 中山市三乡镇大布小学电梯维修和保养服务定点采购合同     四、合同清单信息     采购项目编号： 442000-201810-sx051-0041     采购项目名称： 电缆更换     五、中标、成交供应商： 三洋电梯（珠海）有限公司     地址： 广东省珠海市平沙镇汉青路126号     联系人： 罗建成  联系电话：15916305657     六、合同金额（元）： ￥1200.00     采购项目预算金额（元）： ￥1200.00     七、合同签订日期： 2018年11月01日 16时44分     八、合同公告日期： 2018年11月26日 08时23分     九、联系事项     （一）采购人： 中山市三乡镇大布小学     地址： 中山市三乡镇大布小学     联系人：   联系电话：     （本电子合同与纸质合同完全一致）            发布人： 中山市三乡镇大布小学    发布时间：2018年 11月 26日
__label__2,电梯,2019年电梯维保服务项目竞争性磋商公告2019年电梯维保服务项目竞争性磋商公告 时间：2018-11-26   2019年电梯维保服务项目竞争性磋商公告陕西铁路工程职业技术学院按照《中华人民共和国招标投标法》和《中华人民共和国政府采购法》的规定，拟就“陕西铁路工程职业技术学院2019年电梯维保服务项目”进行竞争性磋商，欢迎符合资格条件的、有能力完成本服务项目的单位参加磋商。一、项目名称：陕西铁路工程职业技术学院2019年电梯维保服务项目二、项目编号：STYJZXCS-2018-17三、项目内容和预算：1.项目内容电梯维保服务项目（分两包）序号12345品牌蒂森克虏伯蒂森克虏伯巨人通力奔速日立数量33116位置临渭校区A楼、餐饮中心高新校区行政楼、实训楼高新校区餐饮中心高新校区餐饮中心临渭校区高层住宅楼本次维保期限2019年1月1日-2019年12月31日分包第一包第二包2.项目预算：第一包预算5.8万元，第二包预算4万元。四、响应单位资质要求：1.企业营业执照副本2.税务登记证副本3.组织机构代码证副本备注：三证合一的企业提供统一社会信用代码的营业执照副本4.法定代表人授权书及被授权人身份证（法定代表人直接磋商只须提交其身份证原件）5.特种设备安装改造维修许可证（电梯）修理A级资质五、磋商文件发售：1.发售时间：2018年11月26日～2018年11月30日，每天上午8:30～11:30；下午14:30～17:30。2.发售地点：陕西铁路工程职业技术学院临渭校区（站北路东段一号）国有资产管理处（A913）。购磋商文件时请带上营业执照、税务登记证、组织机构代码证原件、特种设备安装改造维修许可证（电梯）修理A级备查（备注：三证合一的企业提供统一社会信用代码的营业执照副本）；法定代表人授权书（附法定代表人身份证复印件）及被授权人身份证（法定代表人直接参加投标只须提供法定代表人身份证）。购买磋商文件时提供一套资质复印件（盖公章）。响应单位在磋商时还必须提交上述资格证明文件的原件，以备资格审查。3.文件售价：磋商文件售价200元/套（人民币），售后不退。（谢绝邮寄）4.磋商保证金：在购买磋商文件时需向采购单位递交500元的磋商保证金，以确保磋商活动的顺利进行（未参加磋商单位不予退还）。六、响应文件递交截止时间及磋商时间和地点：1.响应文件递交：磋商当天在磋商现场递交。2.磋商截止时间：2018年12月4日14:30，逾期递交的响应文件恕不接受。3.磋商时间：2018年12月4日14:30，届时请参加磋商的单位代表出席磋商会议（磋商时间如有变更则另行通知）。4.磋商地点：陕西铁路工程职业技术学院A楼1004会议室（若磋商时间或地址变更，将在磋商前三天通知各响应单位）。七、采购单位名称：陕西铁路工程职业技术学院地址：临渭校区：渭南市临渭区站北街东段一号高新校区：渭南市高新技术开发区科教园区胜利大街西段联系人：党老师（15091232087；0913-2221395）     陕西铁路工程职业技术学院采购招标领导小组办公室 2018年11月26日
__label__2,电梯,[樟树市]樟树市口岸联检大楼电梯采购项目（第二次）结果公示[樟树市]樟树市口岸联检大楼电梯采购项目（第二次）结果公示  [2018-11-26]  樟树市口岸联检大楼电梯采购项目（第二次）废标公告  樟树市政府采购中心受樟树市城镇建设投资发展有限公司的委托，就樟树市口岸联检大楼电梯采购项目（第二次）（招标编号：中心-ZS2018-026-1）于2018年11月22日上午9:00在樟树市公共资源交易中心依法开标。参与报名的潜在供应商不足三家，按相关法规规定本次招标予以废标。对该废标项目的采购，我单位将重新组织招标。      樟树市城镇建设投资发展有限公司  2018年11月 26 日本项目代理费用金额为0.0元     附件下载： （修改后）樟树市水运码头口岸联检大楼电梯采购项目（招投标提供）.pdf
__label__2,电梯,宁海县力洋镇敬老院工程电梯采购及安装项目修改通知宁海县力洋镇敬老院工程电梯采购及安装项目修改通知发布时间：2018/11/26各相关投标单位：关于宁海县力洋镇敬老院工程电梯采购及安装项目（项目编号：NHZFCG-Z2018039）现作如下修改：原招标文件第9页“招标货物技术规格和要求响应表”中8.2门机，同品牌或母品牌整机进口现改为★8.2门机整机进口 特此通知。 宁海县政府采购中心2018年11月26日
__label__2,电梯,红河电厂电梯变频器询价询价公告（变更）?询价公告（变更） 询价编号：P-XJ-18-00143677询价名称：红河电厂电梯变频器询价报价截止时间：2018-11-27 10:00:00采购单位（含部门）：云南大唐国际红河发电有限责任公司(物资供应部)采购人：王诗琨采购人联系方式：0873-7169095询价类型：公开询价具体规格、技术指标及售后服务要求等详见下表。   序号 产品编码 产品描述 采购数量 计量单位 交付时间 交货地点 行项目备注     1 32173604365  VARISPEED-676GL5-JJ（电梯变频器）CIMR-L5JJ4022 400V/22kW 1 台 2019-05-19 开远市浑水塘大唐红河电厂    报价要求：请根据明细清单填报16%含税单价付款方式：货到验收后付款其他内容：注明品牌，供货期限请仔细阅读采购文件内容监督电话0873-7169046发布日期：2018-11-26信息来源：http://mall.cdtbuy.cn
__label__2,电梯,电力监控指挥中心电梯维护服务二次公告询价结果通知书询价单名称电力监控指挥中心电梯维护服务二次公告询价结果通知书采购人霍林河循环经济电力监控指挥中心询价单编号2018-HD-NMNY-XHJJ-3-0035-1发布时间2018-11-26 08:53:25详细内容报价截止日期报名截止日期原因信息来源：http://www.cpeinet.com.cn/
__label__2,电梯,关于“2018年深二高技电梯采购项目”各供应商：我校于2018年11月14日发布的2018年深二高技电梯采购项目（招标编号：JX2018ZB-HW05），因报名家数不足，现延期开标：1、投标报名截止时间顺延至: 2018年11月30日下午17:00时（北京时间）；2、投标保证金递交截止时间顺延至：2018年12月3日下午17:00时（北京时间）；3、投标截止及开标时间变更为：2018年12月5日下午15:00时（北京时间）。采购文件如涉及上述内容的亦作相应修改，本通知与原采购文件矛盾之处，以本通知为准。特此通知。联系人：陈工通讯地址：深圳市福田区建艺大厦16楼电　　话：0755-83785164传　　真：0755-83780355
